"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United Kingdom","Flixborough Industrial Estate",5,53.6201,-0.6947,"Solar"
"United Kingdom","Folly Farm",13.1,51.8395,-0.7395,"Solar"
"United Kingdom","Ford Farm (Ashurst)",10,50.9428,-0.3223,"Solar"
"United Kingdom","Ford Farm Solar Farm",5,50.4796,-4.3783,"Solar"
"United Kingdom","Forest Farm",3,50.9429,-1.2027,"Solar"
"United Kingdom","Forest Heath Solar Farm",5,52.2794,0.3914,"Solar"
"United Kingdom","Four Burrows Farm  (Extension 2)",6.3,50.2917,-5.1392,"Solar"
"United Kingdom","Four Burrows Solar farm (Extension 1)",1.5,50.3039,-5.1383,"Solar"
"United Kingdom","Foxburrow Farm",8,52.0467,1.2846,"Solar"
"United Kingdom","Foxcombe Farm Solar Park",5,50.8024,-4.2937,"Solar"
"United Kingdom","Francis Court",4.224,50.7668,-3.4657,"Solar"
"United Kingdom","Frog's Loke Solar Farm",5,52.7984,1.3979,"Solar"
"United Kingdom","Frying Down Copse Solar Farm",5,51.2142,-1.0694,"Solar"
"United Kingdom","Fullenton Solar Farm",4.2,51.1558,-1.4581,"Solar"
"United Kingdom","GDL Wymeswold Solar Farm/land off the A6006",6.1,52.8095,-1.0875,"Solar"
"United Kingdom","Galton Manor Solar Park",5,50.6699,-2.3064,"Solar"
"United Kingdom","Garn Solar Farm",7.4,51.4537,-3.3886,"Solar"
"United Kingdom","Garvinack Farm Solar Park",7,50.2897,-5.1207,"Solar"
"United Kingdom","Gaultney Solar Park",20.5,52.4488,-0.7982,"Solar"
"United Kingdom","Gawcott Fields Farm",9.2,51.9885,-1.005,"Solar"
"United Kingdom","Gedling",5.7408,52.9902,-1.083,"Solar"
"United Kingdom","Gelli Gron",3.596985,52.9348,-4.354,"Solar"
"United Kingdom","Gib Lane (Aston Clinton solar park)",24.2,51.8106,-0.7338,"Solar"
"United Kingdom","Gib Lane Solar farm (Extension)",5,51.8274,-0.7363,"Solar"
"United Kingdom","Gilford Road",1.3,54.4105,-6.4131,"Solar"
"United Kingdom","Glebe Farm Solar Energy Park",15,52.2526,-0.5893,"Solar"
"United Kingdom","Godley Water Treatment Works",3,53.4551,-2.0585,"Solar"
"United Kingdom","Golden Hill",6.2,51.6849,-4.9078,"Solar"
"United Kingdom","Goldenhaye Field Solar Farm",2,50.8739,-2.9058,"Solar"
"United Kingdom","Goldthorpe",1.5,53.5295,-1.3165,"Solar"
"United Kingdom","Goonhilly Solar",4.51,50.0465,-5.218,"Solar"
"United Kingdom","Goose Willow Farm",11.5,51.6359,-1.3569,"Solar"
"United Kingdom","Goose Willow Farm - extension",7,51.633,-1.3488,"Solar"
"United Kingdom","Gosfield Airfield",12.6,51.9558,0.5797,"Solar"
"United Kingdom","Gover Farm Solar Park",8,50.2887,-5.1967,"Solar"
"United Kingdom","Grain Harvesters Ltd",1,51.2667,1.2312,"Solar"
"United Kingdom","Grange Farm",5.80219,50.711,-4.4233,"Solar"
"United Kingdom","Grange Farm",6,50.7131,-1.26,"Solar"
"United Kingdom","Grange Farm (Avon)",21,51.5397,-2.5227,"Solar"
"United Kingdom","Grange Farm (Lincolnshire)",12.7,52.746,0.0509,"Solar"
"United Kingdom","Grange Farm Solar Farm",4.9,51.0059,-3.2219,"Solar"
"United Kingdom","Grange Solar Farm",4.6,53.0282,-0.8145,"Solar"
"United Kingdom","Grantham Solar Park",4.87872,52.9712,-0.7225,"Solar"
"United Kingdom","Granville Road Solar Farm",5,52.7091,-2.4123,"Solar"
"United Kingdom","Gravel Works  Wasing Estate",5,51.3797,-1.1932,"Solar"
"United Kingdom","Great Knowles",2.915,50.8042,-4.3769,"Solar"
"United Kingdom","Great Seabrook Farm",5,51.8502,-0.6484,"Solar"
"United Kingdom","Great Wilbraham Solar Farm",38.1,52.1845,0.2699,"Solar"
"United Kingdom","Greaves Solar Farm",5,54.2859,-2.6851,"Solar"
"United Kingdom","Green Croft Solar Farm",5,54.8476,-1.7367,"Solar"
