Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,KSTCP,4468,1931,1897,3284,2331,3173,1890,1976,2472,2743
2020,US,KSTXB,25334,10949,10756,18620,13217,17991,10716,11204,14016,15553
2020,US,KSTXP,4468,1931,1897,3284,2331,3173,1890,1976,2472,2743
2020,US,LOACB,52624,48863,50711,51459,49620,48500,48436,48874,47287,39536
2020,US,LOCCB,9345142,9112609,9156875,9205723,9028166,9005460,8875484,8923511,8539518,7914704
2020,US,LOICB,7095982,6924268,6884681,6931908,6668241,6542600,6581259,6560236,6402568,5990411
2020,US,LORCB,10022386,9459658,9572545,9613518,9329978,9309164,9046900,9482508,9029393,8982249
2020,US,LOTCB,26516134,25545399,25664812,25802608,25076005,24905724,24552078,25015129,24018766,22926901
2020,US,LOTXB,26516134,25545399,25664812,25802608,25076005,24905724,24552078,25015129,24018766,22926901
2020,US,LUACB,148373,135409,143360,149359,162813,154352,141983,136987,131328,115615
2020,US,LUACP,24464,22326,23637,24626,26845,25450,23410,22587,21653,19063
2020,US,LUICB,127397,118314,125089,130662,142136,135149,124895,121988,118313,111089
2020,US,LUICP,21005,19508,20625,21544,23435,22283,20593,20113,19508,18316
2020,US,LUTCB,275769,253723,268449,280021,304948,289501,266878,258975,249641,226704
2020,US,LUTCP,45469,41834,44262,46170,50280,47733,44003,42700,41161,37379
2020,US,LUTXB,275769,253723,268449,280021,304948,289501,266878,258975,249641,226704
2020,US,LUTXP,45469,41834,44262,46170,50280,47733,44003,42700,41161,37379
2020,US,MBTCK,5.222,5.222,5.222,5.222,5.222,5.222,5.222,5.222,5.222,5.222
2020,US,MGACB,15876719,15794521,16029662,16208815,16307655,16601127,16576273,16573443,16530634,14242892
2020,US,MGACP,3135832,3120214,3167917,3203956,3224769,3284100,3280481,3279272,3272097,2819258
2020,US,MGCCB,44038,38601,39877,53824,375962,374685,360771,366398,369055,371279
2020,US,MGCCP,8698,7626,7881,10639,74345,74122,71397,72497,73051,73491
2020,US,MGICB,254283,252329,262567,210007,257869,261995,264308,269429,266547,269092
2020,US,MGICP,50224,49848,51891,41512,50993,51829,52307,53310,52761,53264
2020,US,MGTCB,16175040,16085452,16332106,16472645,16941486,17237808,17201352,17209269,17166236,14883263
2020,US,MGTCK,5.063,5.062,5.06,5.059,5.057,5.055,5.053,5.054,5.052,5.052
2020,US,MGTCP,3194754,3177687,3227689,3256107,3350106,3410051,3404186,3405079,3397909,2946014
2020,US,MGTXB,16175040,16085452,16332106,16472645,16941486,17237808,17201352,17209269,17166236,14883263
2020,US,MGTXP,3194754,3177687,3227689,3256107,3350106,3410051,3404186,3405079,3397909,2946014
2020,US,MMTCB,15110405,15021605,15240281,15361358,15788432,16050927,16002227,16012638,15959958,13833734
2020,US,MSICB,164740,161581,171162,182742,188926,191343,198809,197968,180157,170663
2020,US,MSICP,28423,27878,29531,31529,32596,33013,34301,34156,31083,29445
2020,US,NGACB,736007,781761,888140,762235,747400,758188,800958,962477,1112937,1095757
2020,US,NGACP,717761,760758,863107,735431,717573,728758,770255,926981,1071257,1056234
2020,US,NGCCB,3226216,2968399,3390846,3583689,3326693,3234870,3291082,3654958,3660922,3303625
2020,US,NGCCP,3155321,2894923,3295298,3466307,3201734,3109587,3164617,3513954,3514568,3170223
2020,US,NGEIB,7733627,9312820,8397689,8384516,9945330,10325030,9578309,10942466,11675619,12010976
2020,US,NGEIK,1.021,1.022,1.025,1.029,1.035,1.034,1.034,1.033,1.034,1.034
2020,US,NGEIP,7573863,9110793,8190756,8145982,9613370,9985270,9265565,10590225,11288096,11619867
2020,US,NGICB,8501768,8822589,9131234,9450313,9427122,9609504,9862549,10465213,10606896,10304307
2020,US,NGICP,8316710,8622488,8908540,9158184,9098293,9274016,9525948,10111536,10239601,9955460
2020,US,NGRCB,4817368,4252794,5037081,5257900,4794495,4525157,4592899,5201731,5232436,4875565
2020,US,NGRCP,4713775,4149521,4897370,5087467,4612890,4346592,4413322,4997557,5018518,4674310
2020,US,NGTCB,25014983,26138351,26844986,27438655,28241055,28452762,28125807,31226849,32288822,31590234
2020,US,NGTCK,1.022,1.023,1.026,1.032,1.037,1.037,1.036,1.036,1.037,1.037
2020,US,NGTCP,24477430,25538484,26155070,26593371,27243861,27444223,27139708,30140253,31132040,30476094
2020,US,NGTPB,80.3,83.3,84.9,86.2,88,88.1,86.5,95.5,98.3,95.3
2020,US,NGTPP,78.6,81.4,82.8,83.5,84.9,84.9,83.5,92.2,94.8,91.9
2020,US,NGTXB,17281359,16825543,18447301,19054137,18295710,18127718,18547487,20284379,20613191,19579254
2020,US,NGTXK,1.022,1.024,1.027,1.033,1.038,1.038,1.038,1.038,1.039,1.038
2020,US,NGTXP,16903567,16427690,17964315,18447389,17630490,17458953,17874142,19550028,19843944,18856227
2020,US,NNTCB,24953771,26075691,26788768,27376838,28179686,28392790,28056891,31153870,32224546,31523522
2020,US,NUEGB,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,8451852,8247915
2020,US,NUEGP,790204,769331,789016,797166,797178,805694,804950,807084,809409,789879
2020,US,NUETB,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,8451852,8247915
2020,US,NUETK,10.464,10.479,10.449,10.459,10.458,10.459,10.459,10.455,10.442,10.442
2020,US,NUETP,790204,769331,789016,797166,797178,805694,804950,807084,809409,789879
2020,US,OHICB,1617596,1674396,1807840,1847340,2009062,2013060,2146742,2474808,2679844,2797987
2020,US,OPICB,2621385,2473650,2583051,2429690,2434536,2553240,2667407,2630064,2585180,2432568
2020,US,OPICP,452479,426367,447691,420161,420677,428046,448339,441591,433971,408421
2020,US,OPTCB,2621385,2473650,2583051,2429690,2434536,2553240,2667407,2630064,2585180,2432568
2020,US,OPTCP,452479,426367,447691,420161,420677,428046,448339,441591,433971,408421
2020,US,OPTXB,2621385,2473650,2583051,2429690,2434536,2553240,2667407,2630064,2585180,2432568
2020,US,OPTXP,452479,426367,447691,420161,420677,428046,448339,441591,433971,408421
2020,US,P1ICB,4275122,4137683,4156672,4009647,4073636,4196922,4253003,4175336,4151489,3874421
2020,US,P1ICP,711264,687719,694243,667478,677566,684945,695433,682965,678226,632440
2020,US,P1TCB,4610774,4392562,4454535,4315174,4381315,4506078,4523240,4446132,4394924,4110305
2020,US,P1TCP,769136,731533,745430,719939,730250,737962,741771,729484,720045,673021
2020,US,P1TXB,4472454,4307508,4332018,4197018,4269599,4387761,4426033,4344650,4319011,4022879
2020,US,P1TXP,744950,716661,724007,699279,710716,717274,724774,711739,706771,657734
2020,US,PAACB,25782479,25269675,25648645,26033132,26421880,26960009,27147135,27433250,27403426,23191444
2020,US,PAACK,5.316,5.306,5.303,5.301,5.303,5.304,5.306,5.31,5.308,5.302
2020,US,PAACP,4850367,4762046,4836816,4910641,4982181,5083161,5116255,5165925,5162356,4373913
2020,US,PACCB,634708,561817,560153,580709,889191,856770,843824,869491,882020,852092
2020,US,PACCK,5.172,5.122,5.048,5.011,5.046,5.016,5.001,4.967,4.959,4.886
2020,US,PACCP,122715,109689,110975,115890,176212,170800,168741,175071,177878,174408
2020,US,PAEIB,294975,214141,255057,295327,275830,243747,217579,260168,188474,184290
2020,US,PAEIK,5.898,5.923,5.89,5.903,5.912,5.882,5.89,5.892,5.897,5.88
2020,US,PAEIP,50010,36156,43304,50027,46656,41441,36943,44158,31962,31342
2020,US,PAICB,8070717,8081120,8276937,8034476,8152987,8260582,8446141,8766953,8804966,8496661
2020,US,PAICK,4.886,4.843,4.8,4.803,4.766,4.797,4.766,4.663,4.644,4.532
2020,US,PAICP,1651756,1668770,1724448,1672915,1710674,1722198,1771988,1880309,1895826,1874846
2020,US,PARCB,1033288,885039,962243,1035341,1006103,877076,870371,1021210,1043766,913106
2020,US,PARCK,4.654,4.711,4.643,4.66,4.716,4.625,4.617,4.615,4.536,4.531
2020,US,PARCP,222012,187882,207235,222197,213325,189634,188526,221268,230122,201534
2020,US,PATCB,35816167,35011792,35703034,35978984,36745991,37198184,37525050,38351073,38322652,33637593
2020,US,PATCK,5.193,5.176,5.157,5.161,5.154,5.161,5.153,5.123,5.111,5.054
2020,US,PATCP,6896860,6764542,6922778,6971670,7129048,7207234,7282452,7486731,7498143,6656043
2020,US,PATPB,114.9,111.5,113,113,114.6,115.1,115.4,117.3,116.7,101.5
2020,US,PATPP,22.1,21.6,21.9,21.9,22.2,22.3,22.4,22.9,22.8,20.1
2020,US,PATXB,35521192,34797651,35447977,35683657,36470161,36954437,37307471,38090904,38134178,33453304
2020,US,PATXP,6846850,6728386,6879474,6921643,7082392,7165793,7245509,7442573,7466181,6624701
2020,US,PCCCB,182,362,350,525,521,297,496,354,210,112
2020,US,PCCCP,32,63,61,92,91,52,87,62,37,20
2020,US,PCCTK,6.287,6.287,6.287,6.287,6.287,6.287,6.287,6.287,6.287,6.287
2020,US,PCEIB,138320,85054,122518,118155,111716,118317,97208,101482,75913,87427
2020,US,PCEIP,24186,14872,21423,20660,19534,20688,16997,17745,13274,15287
2020,US,PCICB,663238,717010,663707,653829,663572,652905,610404,628897,602695,495467
2020,US,PCICP,107623,116912,107622,105829,107823,105620,98339,101510,97330,79751
2020,US,PCMKK,5.719,5.719,5.719,5.719,5.719,5.719,5.719,5.719,5.719,5.719
2020,US,PCTCB,801741,802427,786575,772509,775809,771519,708108,730733,678818,583005
2020,US,PCTCP,131841,131848,129106,126581,127448,126360,115423,119317,110641,95058
2020,US,PCTXB,663420,717373,664057,654354,664093,653202,610900,629251,602905,495579
2020,US,PCTXP,107655,116976,107683,105921,107914,105672,98426,101572,97367,79771
2020,US,PMTCB,34638461,33833231,34428895,34686912,35402289,35745211,36072612,36911537,36885065,32348653
2020,US,PPICB,54891,84750,94587,88734,161092,112597,173415,224563,334557,354311
2020,US,PPICP,11835,18273,20394,19132,34733,24277,37390,48418,72134,76393
2020,US,PPTCB,54891,84750,94587,88734,161092,112597,173415,224563,334557,354311
2020,US,PPTCP,11835,18273,20394,19132,34733,24277,37390,48418,72134,76393
2020,US,PQACB,4511,4369,5195,5982,7669,8833,9142,8929,8693,4568
2020,US,PQACP,1174,1137,1353,1557,1997,2300,2380,2325,2263,1189
2020,US,PQCCB,142509,135525,151617,160473,148028,150012,155673,175966,182028,201045
2020,US,PQCCP,37102,35284,39473,41779,38539,39056,40529,45812,47391,52342
2020,US,PQICB,554066,676886,737646,563237,610959,582365,529984,553266,462763,457726
2020,US,PQICP,144250,176226,192045,146638,159063,151618,137981,144042,120480,119168
2020,US,PQRCB,492612,395556,463473,489523,445710,429888,430702,506546,563405,494934
2020,US,PQRCP,128251,102982,120665,127447,116040,111921,112133,131879,146682,128855
2020,US,PQTCB,1193698,1212335,1357932,1219214,1212366,1171098,1125501,1244707,1216890,1158273
2020,US,PQTCP,310778,315630,353536,317421,315638,304894,293023,324058,316816,301555
2020,US,PQTXB,1193698,1212335,1357932,1219214,1212366,1171098,1125501,1244707,1216890,1158273
2020,US,PQTXP,310778,315630,353536,317421,315638,304894,293023,324058,316816,301555
2020,US,PYICB,433980,432450,428588,416519,413352,423100,431997,435625,417796,389552
2020,US,PYICP,113163,112764,111757,108610,107784,110326,112646,113592,108943,101578
2020,US,PYTCB,433980,432450,428588,416519,413352,423100,431997,435625,417796,389552
2020,US,PYTCP,113163,112764,111757,108610,107784,110326,112646,113592,108943,101578
2020,US,RETCB,9205666,8849852,9425206,9721530,9701466,10351448,11076837,11313603,11369047,11411059
2020,US,RFACB,776321,670521,581153,446537,463400,623124,664585,604031,529103,391461
2020,US,RFACP,123480,106652,92437,71025,73708,99113,105708,96076,84158,62265
2020,US,RFCCB,53746,31396,24403,7939,3972,4439,3832,3106,2337,2338
2020,US,RFCCP,8549,4994,3881,1263,632,706,609,494,372,372
2020,US,RFEIB,93065,76720,77225,95138,93861,70680,65788,78251,58794,52696
2020,US,RFEIP,14803,12203,12283,15132,14929,11242,10464,12446,9352,8382
2020,US,RFICB,134927,69887,48227,40579,33857,52412,49935,43338,40899,31971
2020,US,RFICP,21461,11116,7671,6454,5385,8337,7943,6893,6505,5085
2020,US,RFTCB,1058058,848525,731008,590192,595090,750655,784140,728726,631133,478466
2020,US,RFTCP,168293,134965,116273,93875,94654,119398,124724,115910,100387,76104
2020,US,RFTXB,964993,771805,653783,495054,501229,679975,718352,650475,572339,425770
2020,US,RFTXP,153490,122762,103990,78743,79725,108156,114260,103464,91035,67722
2020,US,SFCCB,12555,11816,11854,13227,11960,11687,12597,13274,11877,10806
2020,US,SFEIB,3748,5525,3725,4168,5952,7174,7875,10241,9813,11593
2020,US,SFINB,28183,30065,25093,26746,28036,27078,33467,33085,28250,30065
2020,US,SFRCB,16726,15253,15545,17676,15420,14033,14977,16379,14337,14249
2020,US,SFTCB,61212,62660,56218,61817,61369,59972,68916,72980,64276,66713
2020,US,SGICB,1486974,1480818,1537296,1516944,1495026,1604700,1582821,1612157,1533475,1404786
