"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United States of America","California Valley Solar Ranch",249.8,35.3237,-119.9166,"Solar"
"United States of America","Calipatria Solar Farm",20,33.1658,-115.5322,"Solar"
"United States of America","Calpine Vineland Solar LLC",4.1,39.4636,-75.0667,"Solar"
"United States of America","Calverton",3.9,40.9211,-72.7437,"Solar"
"United States of America","Camden CSD Solar Array",1.8,43.3123,-75.6953,"Solar"
"United States of America","Cameron Solar",20,33.574,-80.707,"Solar"
"United States of America","Cameron Solar II",4.1,33.567,-80.699,"Solar"
"United States of America","Camilla Solar Plant",16,31.1839,-84.1319,"Solar"
"United States of America","Camp Lejeune Solar",12.8,34.7257,-77.3503,"Solar"
"United States of America","Camp Solar Plant",2.4,32.9647,-84.5439,"Solar"
"United States of America","Campo Verde Solar",147.4,32.7533,-115.7264,"Solar"
"United States of America","Canandaigua Solar Array",2,42.8689,-77.2846,"Solar"
"United States of America","Canandaigua Westbrook Solar Array",2,42.8691,-77.2845,"Solar"
"United States of America","Candace Solar",5,35.487,-78.1922,"Solar"
"United States of America","Canis Major Solar Farm",2,42.009,-72.65,"Solar"
"United States of America","Canis Minor Solar Farm",1,41.893,-72.986,"Solar"
"United States of America","Cantua Solar Station",20,36.4251,-120.3435,"Solar"
"United States of America","Canyon Del Oro High School Solar",1.5,32.374,-110.974,"Solar"
"United States of America","Capella Community Solar",4.5,44.0901,-96.1612,"Solar"
"United States of America","Caprock Solar 1 LLC",25,34.9828,-103.3783,"Solar"
"United States of America","Carol Jean Solar",4,36.3161,-80.1444,"Solar"
"United States of America","Carrier Clinic",1.5,40.47,-74.685,"Solar"
"United States of America","Carson Solar I",2,38.7228,-104.7817,"Solar"
"United States of America","Carter PV1",5,35.0211,-78.7875,"Solar"
"United States of America","Carver MA 1",2,41.9428,-70.7611,"Solar"
"United States of America","Cascade Solar",18.5,34.1572,-116.2344,"Solar"
"United States of America","Castalia Solar",2,36,-77.7833,"Solar"
"United States of America","Castle Rock Vineyards",1,35.8011,-119.1106,"Solar"
"United States of America","Castor Solar",1.5,35.211,-119.3873,"Solar"
"United States of America","Catalina Solar 2  LLC",18,34.8122,-118.3528,"Solar"
"United States of America","Catalina Solar LLC",110,34.9383,-118.3345,"Solar"
"United States of America","Catawba Solar LLC",2,35.61,-80.53,"Solar"
"United States of America","Cecil County CCVT HS",2,39.651,-75.8083,"Solar"
"United States of America","Cedar Branch",5.9,39.5033,-74.9645,"Solar"
"United States of America","Cedar Creek PV",1.8,40.6489,-73.5067,"Solar"
"United States of America","Cedar Solar  LLC",5,34.9158,-77.7757,"Solar"
"United States of America","Cedar Valley Solar Plant",3,37.8078,-113.09,"Solar"
"United States of America","Cedarville CSG",2.5,41.8027,-70.5498,"Solar"
"United States of America","Celina Solar Project #1  LLC",4,40.5406,-84.5906,"Solar"
"United States of America","Centaurus Community Solar",2,44.9491,-95.5113,"Solar"
"United States of America","Centaurus Solar - MA",2.4,42.253,-71.426,"Solar"
"United States of America","Centinela Solar Energy",174.8,32.6869,-115.6478,"Solar"
